token	normalised
pculo	pculo
.	.
amoreure	amoreure
temporauis	temporauis
;	;
adefsasione	adefsasione
iusticie	iusticie
⁊	et
ũitatis	ueritatis
ñ	non
flectitur	flectitur
.	.
sedqͣs	sedquas
sthodie	sthodie
.	.
qui	qui
animam	animam
suam	suam
ponat	ponat
pro	pro
ouib	ouib
;	;
suis	suis
:	:
cadita	cadita
sellauicini	sellauicini
.⁊	.et
multi	multi
sunt	sunt
qui	qui
releuanteam	releuanterim
:	:
piclitatur	piclitatur
anima	anima
ꝓximi	proximi
.⁊	.et
ñ	non
est	est
qui	qui
subleue	subleue
eam	eam
ex	ex
omnib	omnib
;	;
caris	caris
suis	suis
.	.
cũ	cum
tamem᷒	tamemus
.	.
sicut	sicut
ex	ex
scͥpturis	scripturis
instruimur	instruimur
.	.
bonge	bonge
magis	magis
animam	animam
ꝓximi	proximi
.	.
quam	quam
corpus	corpus
ꝓpͥum	proprium
dilig̃e	diligere
teneam᷑	teneamur
.	.
ue	ue
nob̃	nobis
gͥ	igitur
qͥ	qui
cure	cure
pastoralis	pastoralis
officuim	officuim
suscepimus	suscepimus
.	.
si	si
subsilentiolatentes	subsilentiolatente
.	.
aĩarum	animarum
piculo	piculo
nõ	non
obuiam᷒	obuiamus
:	:
simdie	simdie
dñi	domini
in	in
preliostare	preliostare
.⁊	.et
ex	ex
adũso	aduerso
ascendere	ascendere
.	.
si	si
deniq	denique
;	;
murum	murum
.	.
ꝓ	pro
domo	domo
dñi	domini
nosoppoñeñ	nosopponerem
curam᷒	curamus
.	.
timendum	timendum
nob̃	nobis
ꝓculdubio	proculdubio
.	.
nes	nes
anguinẽ	anguinem
aĩarũ	animarum
demanu	demanu
nr̃a	nostra
requirat	requirat
domin᷒	dominus
⁊	et
tanto	tanto
districti᷒	districtius
abeo	abeo
ĩfuturo	infuturo
iudicemur	iudicemur
:	:
qͣnto	quanto
nunc	nunc
paticntie	paticntie
⁊	et
lorganimitatis	lorganimitatis
ip̃ius	ipsius
ĩ	in
memores	memores
.	.
sine	sine
fru᷒	fruus
ctu	ctu
locum	locum
p̃lationis	prelationis
occupam᷒	occupamus
.	.
siquidem	siquidem
ficulne	ficulne
asterilis	asterilis
.	.
inutilit̃tͣram	inutilitertaram
occupans	occupans
.	.
succidi	succidi
ĩussa	inussa
ẽ	est
.⁊	.et
om̃is	omnis
arbor	arbor
que	que
ñ	non
fecerit	fecerit
fructum	fructum
bonũ	bonum
.	.
ex	ex
qꝛdet᷑	quedetur
⁊	et
ĩiguemmittet᷑	iniguemmittetur
.	.
sicut	sicut
aũ	autem
ꝓ	pro
pastores	pastores
eccl̃ie	ecclesie
p̃latos	prelatos
:	:
sic	sic
ꝑ	per
oues	oues
:	:
eoꝝ	eorum
sudditos	sudditos
Ꝯuenient̃	nuenienter
ĩtelligimis	intelligimis
.	.
uñ	unde
ꝓ	pro
salmista	salmista
ait	ait
.	.
nos	nos
autem	autem
populustuus	populustuus
.⁊	.et
ouẽ	ouem
pascue	pascue
Ꝯfitebi	cfitebi
murtibi	murtibi
in	in
secula	secula
.	.
sũͣtitaq	sumantitaque
;	;
subditi	subditi
.	.
oues	oues
.	.
ꝑ	per
ĩnocentiã	innocentiam
⁊	et
simplicitatẽ	simplicitatem
:	:
.	.
sint	sint
oues	oues
.	.
:	:
ꝓ	pro
bonoꝝ	bonorum
oꝑum	operum
fructificationẽ	fructificationem
.	.
sũit	suerit
deniq	denique
;	;
oues	oues
ille	ille
.	.
de	de
quib	quib
;	;
ip̃e	ipse
dominus	dominus
ait	ait
.	.
Quesme	Quesme
ẽ	est
uocem	uocem
meam	meam
audiunt	audiunt
.⁊	.et
ego	ego
domin᷒	dominus
agnos	agnos
coeas	coeas
:	:
qꝛ	qui
reuera	reuera
.	.
qͥ	qui
nuc̃mandatis	nucermandatis
eius	eius
obadiunt	obadiunt
pĩ	pum
t̃namaspirationẽ	ternamaspiratione
:	:
hos	hos
ip̃e	ipse
agnoscit	agnoscit
.	.
ꝑ	per
et̃a	etera
euite	euite
predestinationẽ	predestinationem
.	.
uñ	unde
deꝑfecto	deperfecto
uiro	uiro
dicit᷑	dicitur
.	.
nonite	nonite
ex	ex
nomine	nomine
.	.
i	i
.	.
approbaui	approbaui
.	.
ĩ	in
met̃na	meterna
p̃destinatione	predestinatione
.	.
Et	Et
propͥas	proprias
oues	oues
ĩquit	inquit
.	.
uocat	uocat
nominatĩ	nominatim
:⁊	:et
uaditant	uaditant
ellas	ellas
ascerint᷑	ascerintur
eñ	enim
.	.
ppͥas	poptas
ouesc̃omi᷒	ouescationis
hominat	hominat
ĩuocat	inuocat
.	.
cum	cum
nomina	nomina
eletorum	eletorum
suoꝝ	suorum
.	.
llibro	llibro
uite	uite
celestis	celestis
annotat	annotat
:⁊	:et
uadit	uadit
a	a
ñeas	nereas
.⁊	.et
secunt᷑einm	secuntureine
.	.
c̃	cum
quo	quo
ip̃e	ipse
p̃cessit᷑	precessitur
ĩ	in
gl̃iam	gloriam
sẽ	sem
prt̃nam	prestentiam
eos	eos
miscd̃iter	misericordiam
inducit	inducit
.	.
ad	ad
qͣm	quam
gl̃am	gloriam
nos	nos
inducere	inducere
.	.
deducere	deducere
⁊	et
ꝑ	per
ducere	ducere
dignetur	dignetur
.	.
idem	idem
dñs	dominus
nr̃	noster
ih̃c	iesc
xp̃c	Christi
:	:
cui᷒	cuius
regnũ	regnum
⁊	et
impium	impium
ꝓmanet	promanet
ĩ	in
secula	secula
seculorumi	seculorumi
.	.
amen	amen
lectulum	lectulum
salomonis	salomonis
fortes	fortes
ambiunt	ambiunt
.	.
ex	ex
fortissimisis	fortissimisis
rl̃	rule
lomnes	lomnes
tenentes	tenentes
gladios	gladios
⁊	et
ad	ad
bella	bella
doctissimi	doctissimi
:	:
uni᷒	unius
cui᷒q	cuiusque
;	;
ensis	ensis
suꝑfemursuum	superfemursuum
.	.
ꝓptertimores	proptertimores
nocturnos	nocturnos
.	.
salomonille	salomonille
qͣndam	quandam
sapientissimus	sapientissimus
.	.
qui	qui
ñ	non
dũitiarũ	dumitiarum
m	m
uititudinẽ	uititudinem
.	.
neclongitudinẽ	neclongitudinem
dierũ	dierum
.	.
s	s
;	;
sapientiam	sapientiam
da	da
dño	domino
petũt	petunt
.⁊	.et
longecet̃is	longeceteris
excellenti᷒	excellentius
accepit	accepit
.	.
quirerum	quirerum
naturas	naturas
subtilit̃	subtiliter
ĩ	in
uestigans	uestigans
.	.
aced	aced
roq̃	roque
est	est
inlibano	inlibano
.	.
usq	usque
;	;
ados	ados
oꝑum	operum
q̃e	que
greditur	greditur
de	de
pariete	pariete
.	.
senem	senem
disputationis	disputationis
sue	sue
Ꝯtexuit	ttexuit
:	:
uidens	uidens
inspũ	inspum
eccl̃iam	ecclesiam
ut	ut
castroꝝ	castrorum
acie	acie
modinatam	modinatam
.	.
rectoꝝ	rectorum
sp̃alrũ	spiritualum
sollicitudine	sollicitudine
simu	simu
lacfortitudine	lacfortitudine
roborandã	roborandam
:	:
ait	ait
ĩcanticis	incanticis
.	.
En	En
lectulũ	lectulum
salomonis	salomonis
.	.
fortes	fortes
ambiunt	ambiunt
.	.
ĩ	in
quib	quib
;	;
ũbistam	uerbistam
p̃latorum	prelatorum
qͣm	quam
subditoꝝ	subditorum
statum	statum
ꝓulchresatis	proulchresbas
deꝑingit	deperingit
⁊	et
ordinat	ordinat
:	:
quib	quib
;	;
etiam	etiam
armisidem	armisidem
prelati	prelati
in	in
defensionẽ	defensionem
subditorum	subditorum
Ꝯtra	ttra
spiritales	spiritales
ne	ne
quitias	quitias
munirs	munirs
debeant	debeant
:	:
in	in
fin	fin
e	e
ei᷒	eius
demi	demi
clausule	clausule
luculent̃	luculenter
insinuat	insinuat
.	.
ctrecte	ctrecte
prelato	prelato
secl̃ie	seculie
fortes	fortes
appellat	appellat
:	:
fortes	fortes
enĩ	enim
funtm	funtm
ulriplici	ulriplici
fortitudinec̃i	fortitudineci
qͥ	qui
d̃	de
fortes	fortes
sunt	sunt
pdilectionem	pdilectionem
:	:
fortes	fortes
peropationem	peropationem
.	.
fortes	fortes
Ꝯt᷑	utur
diabolice	diabolice
fraudis	fraudis
inlguã	inlguam
suggestionem	suggestionem
:	:
fortes	fortes
de	de
ñq	nonque
;	;
ad	ad
sustinendã	sustinendam
inpetientia	inpetientia
suꝑ	super
audã	audam
:	:
liene	liene
malicie	malicie
pͣuitatem	prauitatem
.	.
hortes	hortes
sunt	sunt
ꝑ	per
dilectionẽ	dilectionem
:	:
sic̃	sicut
enĩ	enim
uirsapiens	uirsapiens
ait	ait
.	.
sortis	sortis
ut	ut
mors	mors
dileitioque	dileitioque
nec	nec
temporalis	temporalis
adũsitatis	aduersitatis
fuamgitur	fuamgitur
molestia	molestia
:	:
nect̃	necter
rene	rene
ꝓspitatis	prospitatis
felicitate	felicitate
dissoluit᷑	dissoluitur
.	.
s	s
;	;
celestib	celestib
;	;
semper	semper
intenta	intenta
gaudiis	gaudiis
.	.
int̃	inter
adũsa	aduersa
⁊	et
ꝓspastabilis	prospastabilis
.	.
in	in
deficiens	deficiens
.⁊	.et
ĩ	in
Ꝯcussa	ccussa
ꝓsistit	prosistit
.	.
quia	quia
sicut	sicut
apl̃c	apostoli
si	si
ueꝓphetie	ueprophetie
euacuabunt᷑	euacuabuntur
.	.
si	si
uelinguecessabr̃	uelinguecessab
.	.
siuc	siuc
sc̃ia	sancti
destruet᷑	destruetur
:	:
caritas	caritas
nũqͣm	numquam
excidit	excidit
.	.
fortẽ	fortem
indilectione	indilectione
paulus	paulus
apl̃c	apostoli
se	se
cognouit	cognouit
.	.
cũ	cum
diceret	diceret
:	:
certus	certus
sum	sum
.	.
qꝛ	qui
neq	neque
;	;
mors	mors
.	.
neq	neque
;	;
uita	uita
.	.
neq	neque
;	;
instantia	instantia
.	.
neq	neque
;	;
fut᷑aneq	futuraneque
;	;
angl̃i	angeli
.	.
neq	neque
;	;
pͥncipatus	principatus
.	.
neq	neque
;	;
potestates	potestates
.	.
neq	neque
;	;
uirtutes	uirtutes
.	.
neq	neque
;	;
fortitudo	fortitudo
.	.
neq	neque
;	;
altiti	altiti
sco	sco
.	.
neq	neque
;	;
ꝓfundum	profundum
.	.
neq	neque
;	;
creatur	creatur
aalia	aalia
poterit	poterit
nossepararea	nossepararea
caritate	caritate
xp̃i	Christi
.	.
fortes	fortes
etiam	etiam
indilectione	indilectione
sebeati	sebeati
martire	martire
sostende	sostende
.	.
runt	runt
.	.
qui	qui
corpora	corpora
sua	sua
ꝓpt̃	propter
dm	dm
tradide	tradide
.	.
rt̃	runt
ad	ad
supplicia	supplicia
.⁊	.et
minas	minas
iudicum	iudicum
ñ	non
metuentes	metuentes
.	.
ferrum	ferrum
.	.
ignem	ignem
.⁊	.et
gladiũ	gladium
.	.
ĩ	in
uincibl̃	uincibul
mentis	mentis
Ꝯstantia	cstantia
suꝑauerũt	superauerunt
.	.
quorũ	quorum
exitus	exitus
licet	licet
int̃tor	intertor
mentaui	mentaui
sussit	sussit
despicabilis	despicabilis
:	:
in	in
ueniet᷑	uenietur
tam̃	tamen
in	in
laudem	laudem
⁊	et
gl̃iam	gloriam
ĩtemporere	intemporere
tͥbutionis	tributionis
.	.
Deistoꝝ	Deistorum
fortitudine	fortitudine
beat᷑	beatur
.	.
mentionẽ	mentionem
faciens	faciens
.	.
inqͥdam	inquidam
locosicait	locosicait
.	.
Qlecti	Qlecti
inquit	inquit
e	e
arnem	arnem
domants	domante
pmroborant	pmroborant
:	:
uirtutib	uirtutib
;	;
coruscant	coruscant
.	.
pͥsentia	prisentia
despiciunt	despiciunt
.	.
et̃na	eterna
m	m
uitam	uitam
uocib	uocib
;⁊	;et
morib	morib
;	;
p̃dicant	predicant
.⁊	.et
ad	ad
eã	eam
qͣm	quam
morientes	morientes
ditigunt	ditigunt
:	:
ꝑtingereꝑ	pertingerem
tormenta	tormenta
Ꝯtendunt	ttendunt
.	.
Occidipossunt	Occidipossunt
:	:
s	s
;	;
flecti	flecti
nequennt	nequennt
.	.
Eccemirabilis	Eccemirabilis
fortitudo	fortitudo
dilectionis	dilectionis
.	.
porrop̃lati	porropellati
eccl̃ie	ecclesie
fortesst᷑	fortessurunt
ꝑ	per
oꝑatõnem	operationem
:	:
ip̃i	ipsi
enĩ	enim
st̃qui	sterqui
manũ	manum
suam	suam
mittũt	mittunt
ad	ad
fortia	fortia
.	.
qui	qui
induunt	induunt
fortitudinẽ	fortitudinem
.⁊	.et
p̃c	prictur
ingunt	ingunt
se	se
uirtute	uirtute
.	.
qui	qui
ñ	non
effeminatis	effeminatis
moribus	moribus
sectant᷑	sectantur
Ꝯcia	ncia
:	:
nec	nec
ĩ	in
forostantes	forostantes
ociosi	ociosi
repunt᷑	repuntur
.	.
s	s
;	;
ul̃	ue
ut	ut
oparii	oparii
fortes	fortes
.	.
desdendunt	desdendunt
mare	mare
ĩnauib	innauib
;.	;estrium
facientes	facientes
opatiomem	opatiomem
ĩa	ina
quis	quis
mutis	mutis
.	.
D᷒	Dui
est	est
pardlidas	pardlidas
gllicitudine	gllicitudine
gruh̃	gruhit
pante	pante
dͣlias	darlias
.	.
que	que
fluctib	fluctib
;	;
hui᷒	huius
seculi	seculi
quatiunt᷑	quatiuntur
.⁊	.et
exemplosimu	exemplosimu
lacdoctrina	lacdoctrina
:	:
fructificant	fructificant
inpopl̃is	inpopulis
.	.
Ip̃i	Ipsi
sunt	sunt
qui	qui
oꝑant᷑	operantur
Ꝯsilio	esilio
manuũ	manuum
suarũ	suarum
.	.
hoc	hoc
estacͥtionũ	estacritionum
discretione	discretione
disponunt᷑	disponuntur
:	:
qui	qui
sp̃m	spiritum
ñ	non
mͥ	michi
Ꝯsilus	esilus
;⁊	;et
fortitudinis	fortitudinis
acepert̃	aceperunt
.	.
qui	qui
fortitudinem	fortitudinem
suam	suam
ñ	non
mundo	mundo
.	.
s	s
;	;
dño	domino
custodiunt	custodiunt
:	:
qui	qui
deniq	denique
;	;
spantes	spantes
ĩ	in
eo	eo
.	.
qͥ	qui
fortis	fortis
⁊	et
potens	potens
est	est
inp̃lio	inperuio
:	:
subsignis	subsignis
eius	eius
cõstanter	constanter
militant	militant
.⁊	.et
post	post
uirtutum	uirtutum
.	.
certamina	certamina
.	.
palmã	palmam
uictorie	uictorie
feliciterassecunt᷑	feliciteras
.	.
fortes	fortes
etiam	etiam
sunt	sunt
prelati	prelati
eccl̃ie	ecclesie
Ꝯtradiabolice	ttradiabolice
fraudis	fraudis
ĩi	ini
quam	quam
suggestionẽ	suggestionem
:	:
ñ	non
enĩ	enim
ignoranta	ignoranta
sucias	sucias
ei᷒	eius
.	.
qui	qui
hostis	hostis
humani	humani
geñis	generis
.⁊	.et
ĩ	in
saciabilis	saciabilis
homicida	homicida
.	.
sedet	sedet
ĩ	in
insidiis	insidiis
.	.
uͭ	ut
interficiat	interficiat
ĩnocentẽ	innocentem
.⁊	.et
in	in
munita	munita
queꝙ	queque
;	;
curios	curios
eꝑ	epist
lustrans	lustrans
.	.
modo	modo
tam	tam
qͣ	qua
fur	fur
ĩ	in
nocte	nocte
uenit	uenit
.	.
ut	ut
furet᷑	furetur
.⁊	.et
mactet	mactet
ꝙdperdat	qudpperdat
:	:
mͥ	michi
uelut	uelut
serpens	serpens
callidus	callidus
frndulentis	frndulentis
deceptionũ	deceptionum
sibilis	sibilis
.	.
m̃tes	mentes
subũtit	subuntit
ĩpuidas	impuidas
:⁊	:et
sub	sub
sp̃e	spirite
recti	recti
.	.
plerum	plerum
ct̃	cunt
falsa	falsa
suggerit	suggerit
.	.
modo	modo
uͦͭse	uorite
uiens	uiens
ĩ	in
apto	apto
.⁊	.et
ad	ad
p̃dam	predam
paratus	paratus
:	:
tanqͦ	tanquo
leorugiens	leorugiens
circuit	circuit
qͣrens	quarens
quem	quem
deuoret	deuoret
.	.
contra	contra
multiplices	multiplices
hui᷒	huius
mͣͦitẽptationũ	maroritemptationum
laq̃os	laques
.	.
beatus	beatus
petrus	petrus
apl̃c	apostoli
uigilantes	uigilantes
⁊	et
cͥcum	cricum
spectos	spectos
eẽnosãmones	eesnosammones
:	:
ait	ait
.	.
fratressobri	fratressobri
iestote	iestote
⁊	et
uigilate	uigilate
.	.
ꝙꝛ	quem
adũsatius	aduersatius
ue	ue
st̃diabl̃s	sterdiabilis
.	.
tanqͣl	tanqual
corugiens	corugiens
:	:
cucuit	cucuit
q̃	que
rens	rens
quẽ	quem
deuoret	deuoret
.	.
Et	Et
recte	recte
subiungit	subiungit
.	.
cui	cui
resistite	resistite
fortes	fortes
ĩ	in
fideuidelicet	fideuidelicet
.	.
ut	ut
ordine	ordine
Ꝯuenienti	nuenienti
.	.
fortitus	fortitus
dofortudine	dofortudine
deludat᷑	deludatur
:	:
sapient	sapient
:	:
auincat	auincat
malitiãs	malitians
⁊	et
illũ	illum
forte	forte
mã	man
matum	matum
.	.
qui	qui
in	in
pacecusdditatrlum	pacecusdiitat
suũ	suum
.	.
uincat	uincat
fortioꝝ	fortiorum
supueniens	supueniens
:⁊	:et
arma	arma
ei᷒	eius
auferat	auferat
iñ	inde
qͥb	quib
;	;
confidebat	confidebat
:⁊	:et
spolia	spolia
ip̃i᷒	ipsius
distribuat	distribuat
.	.
paulus	paulus
etia	etia
ma	ma
postolus	postolus
Ꝯtradiabolice	ttradiabolice
fraudis	fraudis
ĩidia	inidia
suos	suos
Ꝯfortans	cfortans
.	.
induit	induit
eiqͥtarmat	eiquitarmat
