token	normalised
pculo	pculo
.	.
amoreure	amoreure
temporauis	temporauis
;	;
a	a
defsasione	defsasione
iusticie	iusticie
⁊	et
ũitatis	ueritatis
ñ	non
flectitur	flectitur
.	.
sedqͣs	sedquas
st	st
hodie	hodie
.	.
qui	qui
animam	animam
suam	suam
ponat	ponat
pro	pro
ouib;	ouibus
suis	suis
:	:
cadita	cadita
sella	sella
uicini	uicini
.	.
⁊	et
multi	multi
sunt	sunt
qui	qui
releuant	releuant
eam	eam

:	:
piclitatur	piclitatur
anima	anima
ꝓximi	proximi
.	.
⁊	et
ñ	non
est	est
qui	qui
subleue	subleue
eam	eam
ex	ex
omnib;	omnibus
caris	caris
suis	suis
.	.
cũtamem᷒	cuntamemus
.	.
sicut	sicut
ex	ex
scͥpturis	scripturis
instruimur	instruimur
.	.
bonge	bonge
magis	magis
animam	animam
ꝓximi	proximi
.	.
quam	quam
corpus	corpus
ꝓpͥum	proprium
dilig̃e	diligere
teneam᷑	teneamur
.	.
ue	ue

nob̃	nobis
gͥ	igitur
qͥ	qui
cure	cure
pastoralis	pastoralis
officuim	officuim
suscepimus	suscepimus
.	.
si	si
subsilentio	subsilentio
latentes	latentes
.	.
aĩarum	animarum
piculo	piculo
nõ	non
obuiam᷒	obuiamus
:	:
simdie	simdie
dñi	domini
inpreliostare	inpreliostare
.	.
⁊	et
ex	ex
adũso	aduerso
ascendere	ascendere
.	.
si	si
deniq;	denique
murum	murum
.	.
ꝓ	pro
domo	domo
dñi	domini
nos	nos
o	o

ppoñeñ	popionensis
curam᷒	curamus
.	.
timendum	timendum
nob̃	nobis
ꝓculdubio	proculdubio
.	.
ne	ne
sanguinẽ	sanguinem
aĩarũ	animarum
de	de
manu	manu
nr̃a	nostra
requirat	requirat
domin᷒	dominus
⁊	et
tanto	tanto
districti᷒	districtius
ab	ab
eo	eo
ĩfuturo	infuturo
iudicemur	iudicemur
:	:
qͣnto	quanto
nunc	nunc
paticntie	paticnie
⁊	et
lorganimitatis	lorganimitatis
ip̃ius	ipsius
ĩ	in
memores	memores
.	.
sine	sine
fru᷒ctu	frusctu
lo	lo

cum	cum
p̃lationis	prelationis
occupam᷒	occupamus
.	.
si	si
quidem	quidem
ficulneas	ficulneas
terilis	terilis
.	.
in	in
utilit̃	utiliter
tͣram	traram
occupans	occupans
.	.
succidiĩ	succidiim
ussa	ussa
ẽ	est
.	.
⁊	et
om̃is	omnis
arbor	arbor
que	que
ñ	non
fecerit	fecerit
fructum	fructum
bonũ	bonum
.	.
exqꝛdet᷑	exquidetur
⁊	et
ĩiguem	iniguem
mittet᷑	mittetur
.	.
sicut	sicut
aũ	autem
ꝓ	pro

pastores	pastores
eccl̃ie	ecclesie
p̃latos	prelatos
:	:
sicꝑ	sicper
oues	oues
:	:
eoꝝ	eorum
sudditos	sudditos
Ꝯuenient̃	conuenienter
ĩtelligimis	intelligimis
.	.
uñ	unde
ꝓsalmista	prosalmista
ait	ait
.	.
nos	nos
autem	autem
populus	populus
tuus	tuus
.	.
⁊	et
ouẽ	ouem
pascue	pascue
Ꝯfitebi	confitebi
murtibi	murtibi
in	in
secula	secula
.	.
sũ	sum
ͣtitaq;	atitaque
subditi	subditi
.	.
oues	oues
.	.

ꝑ	per
ĩnocentiã	innocentiam
⁊	et
simplicitatẽ	simplicitatem
:	:
.	.
sint	sint
oues	oues
.	.
:	:
ꝓ	pro
bonoꝝ	bonorum
oꝑum	operum
fructificationẽ	fructificationem
.	.
sũit	sunit
deniq;	denique
oues	oues
ille	ille
.	.
de	de
quib;	quibus
ip̃e	ipse
dominus	dominus
ait	ait
.	.
Ques	Ques
me	me
ẽ	est
uocem	uocem
meam	meam
audiunt	audiunt
.	.
⁊	et
ego	ego

domin᷒	dominus
agnosco	agnosco
eas	eas
:	:
qꝛ	quia
reuera	reuera
.	.
qͥ	qui
nuc̃	nucer
mandatis	mandatis
eius	eius
ob	ob
adiunt	adiunt
pĩt̃nam	pisentem
aspirationẽ	aspirationem
:	:
hos	hos
ip̃e	ipse
agnoscit	agnoscit
.	.
ꝑ	per
et̃ae	etera
uite	uite
predestinationẽ	predestinationem
.	.
uñ	unde
de	de
ꝑfecto	perfecto
uirodicit᷑	uirodicitur
.	.
nonite	nonite
exnomine	exnomine
.	.
i	i
.	.

approbaui	approbaui
.	.
ĩ	in
met̃na	meterna
p̃destinatione	predestinatione
.	.
Et	Et
propͥas	proprias
oues	oues
ĩquit	inquit
.	.
uocat	uocat
nominatĩ	nominatim
:	:
⁊	et
uaditantella	uaditantella
sascerint᷑eñ	sascerintur
.	.
ppͥas	poprias
oue	oue
sc̃o	sancto
mi᷒	mius
hominat	hominat
ĩuocat	inuocat
.	.
cum	cum
nomina	nomina
eletorum	eletorum
suoꝝ	suorum
.	.
llibro	llibro
uite	uite
celestis	celestis
annotat	annotat
:	:

⁊	et
uadit	uadit
añ	ante
eas	eas
.	.
⁊	et
secunt᷑	secuntur
einm	einm
.	.
c̃	cum
quo	quo
ip̃e	ipse
p̃cessit᷑	precessitur
ĩ	in
gl̃iam	gloriam
sẽ	sem
prt̃nam	preternam
eos	eos
miscd̃iter	misericerer
inducit	inducit
.	.
ad	ad
qͣm	quam
gl̃am	gloriam
nos	nos
inducere	inducere
.	.
deducere	deducere
⁊	et
ꝑducere	perducere
dignetur	dignetur
.	.
idem	idem
dñs	dominus
nr̃	noster

ih̃c	iehsu
xp̃c	christus
:	:
cui᷒	cuius
regnũ	regnum
⁊	et
impium	impium
ꝓmanet	promanet
ĩ	in
secula	secula
seculorumi	seculorumi
.	.
amen	amen
lectu	lectu
lum	lum
salomonis	salomonis
fortes	fortes
ambiunt	ambiunt
.	.
ex	ex
fortissimis	fortissimis
isrl̃	isrus
lomnes	lomnes
tenentes	tenentes
gladios	gladios
⁊	et
ad	ad
bella	bella
doctissimi	doctissimi
:	:
uni᷒	unius
cui᷒q;	cuiusque
ensis	ensis
suꝑ	super
femur	femur

suum	suum
.	.
ꝓptertimores	proptertimores
noctur	noctur
nos	nos
.	.
salomo	salomo
nille	nille
qͣndam	quandam
sapientissimus	sapientissimus
.	.
qui	qui
ñ	non
dũitiarũ	dumitiarum
muititudinẽ	muititudinem
.	.
nec	nec
longitudinẽ	longitudinem
dierũ	dierum
.	.
s;	sed
sapientiam	sapientiam
da	da
dño	domino
petũt	petunt
.	.
⁊	et
longe	longe
cet̃is	ceteris
excellenti᷒	excellentius
accepit	accepit
.	.
qui	qui
rerum	rerum
naturas	naturas

subtilit̃	subtiliter
ĩuestigans	inuestigans
.	.
acedroq̃	acedroque
est	est
in	in
libano	libano
.	.
usq;	usque
ados	ados
oꝑum	operum
q̃e	quer
greditur	greditur
de	de
pariete	pariete
.	.
senem	senem
disputationis	disputationis
sue	sue
Ꝯt	cont
exuit	exuit
:	:
uidens	uidens
in	in
spũ	spiritum
eccl̃iam	ecclesiam
ut	ut
castroꝝacie	castroracacie
modinatam	modinatam
.	.
rectoꝝ	rectorum
sp̃alrũ	spiritualum
sollicitudine	sollicitudine
simulac	simulac
fortitudine	fortitudine

roborandã	roborandam
:	:
ait	ait
ĩ	in
canticis	canticis
.	.
En	En
lectu	lectu
lũ	lum
sa	sa
lomonis	lomonis
.	.
fortes	fortes
ambiunt	ambiunt
.	.
ĩ	in
quib;	quibus
ũbis	uerbis
tamp̃latorum	tampolatorum
qͣm	quam
subditoꝝ	subditorum
statum	statum
ꝓulchre	proulhere
satis	satis
de	de
ꝑingit	peringit
⁊	et
ordinat	ordinat
:	:
quib;	quibus
etiam	etiam
armisidem	armisidem
prelati	prelati
in	in
defensionẽ	defensionem

subditorum	subditorum
Ꝯtraspiritales	contraspiritas
ne	ne
quitias	quitias
munirs	munirs
debeant	debeant
:	:
infine	infine
ei᷒	eius
demiclausule	demiclaus
luculent̃	luculenter
insinuat	insinuat
.	.
ct	c
recte	recte
prelato	prelato
secl̃ie	seculie
fortes	fortes
appellat	appellat
:	:
fortes	fortes
enĩ	enim
funt	funt
mulriplici	mulriplici
fortitudine	fortitudine
c̃iqͥd̃	coniquid
fortes	fortes
sunt	sunt
pdilectionem	pdilectionem
:	:
fortes	fortes
pero	pero
pationem	pationem
.	.
fortes	fortes

Ꝯt᷑diabolice	conturdiabole
fraudis	fraudis
inlguã	inlguam
suggestionem	suggestionem
:	:
fortes	fortes
de	de
ñq;	nomque
ad	ad
sustinendã	sustinendam
in	in
petientia	petientia
suꝑ	super
audã	audam
:	:
liene	liene
malicie	malicie
pͣuitatem	prauitatem
.	.
hortes	hortes
sunt	sunt
ꝑ	per
dilectionẽ	dilectionem
:	:
sic̃	sicut
enĩ	enim
uirsapiens	uirsapiens
ait	ait
.	.
sortis	sortis
ut	ut
mors	mors
dileitio	dileitio
que	que
nec	nec

temporalis	temporalis
adũsitatis	aduersitatis
fuamgitur	fuamgitur
molestia	molestia
:	:
nec	nec
t̃	ter
rene	rene
ꝓspitatis	prospitatis
felicitate	felicitate
dissoluit᷑	dissoluitur
.	.
s;	sed
celestib;	celestibus
semper	semper
intenta	intenta
gaudiis	gaudiis
.	.
int̃	inter
adũsa	aduersa
⁊	et
ꝓspastabilis	prospastabilis
.	.
in	in
deficiens	deficiens
.	.
⁊	et
ĩ	in
Ꝯcussa	concussa
ꝓsistit	prosistit
.	.
quia	quia
sicut	sicut
apl̃c	apostolus
siue	siue

ꝓphetie	prophetie
eua	eua
cuabunt᷑	cuabuntur
.	.
si	si
uelingue	uelingue
cessabr̃	cessabitur
.	.
siuc	siuc
sc̃ia	sanctia
destruet᷑	destruetur
:	:
caritas	caritas
nũqͣm	numquam
excidit	excidit
.	.
fortẽ	fortem
in	in
dilectione	dilectione
paulus	paulus
apl̃c	apostolus
se	se
cognouit	cognouit
.	.
cũ	cum
diceret	diceret
:	:
certus	certus
sum	sum
.	.
qꝛ	quia
neq;	neque
mors	mors
.	.
neq;	neque

uita	uita
.	.
neq;	neque
instantia	instantia
.	.
neq;	neque
fut᷑a	futura
neq;	neque
angl̃i	angeli
.	.
neq;	neque
pͥncipatus	principatus
.	.
neq;	neque
potestates	potestates
.	.
neq;	neque
uirtutes	uirtutes
.	.
neq;	neque
fortitudo	fortitudo
.	.
neq;	neque
altitisco	altitisco
.	.
neq;	neque
ꝓfundum	profundum
.	.
neq;	neque
creaturaalia	creaturaalia
poterit	poterit
nos	nos
separare	separare
a	a
caritate	caritate

xp̃i	christi
.	.
fortes	fortes
etiam	etiam
in	in
dilectione	dilectione
sebeati	sebeati
martiresostende	martiresostene
.	.
runt	runt
.	.
qui	qui
corpora	corpora
sua	sua
ꝓpt̃dmtradide	propterdetriedi
.	.
rt̃	runt
ad	ad
supplicia	supplicia
.	.
⁊	et
minas	minas
iudicum	iudicum
ñ	non
met	met
uentes	uentes
.	.
ferrum	ferrum
.	.
ignem	ignem
.	.
⁊	et
gladiũ	gladium
.	.
ĩuincibl̃	inuincibis

mentis	mentis
Ꝯstantia	constantia
suꝑ	super
auerũt	auerunt
.	.
quorũ	quorum
exitus	exitus
licet	licet
int̃tor	intertor
menta	menta
uisus	uisus
sit	sit
despicabilis	despicabilis
:	:
in	in
ueniet᷑	uenietur
tam̃	tamen
in	in
laudem	laudem
⁊	et
gl̃iam	gloriam
ĩ	in
tempore	tempore
retͥbutionis	retributionis
.	.
De	De
istoꝝ	istorum
fortitudine	fortitudine
beat᷑	beatur
.	.
mentionẽ	mentionem
faciens	faciens
.	.
inqͥdam	inquidam
loco	loco

sicait	sicait
.	.
Qlecti	Qlecti
inquite	inquite
arnem	arnem
domant	domant
spmroborant	sprobororant
:	:
uirtutib;	uirtutibus
corus	corus
cant	cant
.	.
pͥsentia	prisentia
despiciunt	despiciunt
.	.
et̃nam	eternam
uitam	uitam
uocib;	uocibus
⁊	et
morib;	moribus
p̃dicant	predicant
.	.
⁊	et
ad	ad
eãqͣm	eamquam
morientes	morientes
ditigunt	ditigunt
:	:
ꝑtingere	pertingere
ꝑtormenta	pertormenta
Ꝯtendunt	contendunt
.	.
Occidi	Occidi
pos	pos
sunt	sunt

:	:
s;	sed
flecti	flecti
ne	ne
quennt	quennt
.	.
Ecce	Ecce
mirabilis	mirabilis
fortitudo	fortitudo
dilectionis	dilectionis
.	.
porrop̃lati	porropelati
eccl̃ie	ecclesie
fortes	fortes
st᷑	stur
ꝑ	per
oꝑatõnem	operationem
:	:
ip̃i	ipsi
enĩ	enim
st̃	sunt
qui	qui
manũ	manum
suam	suam
mittũt	mittunt
ad	ad
fortia	fortia
.	.
qui	qui
induunt	induunt
fortitudinẽ	fortitudinem
.	.
⁊	et
p̃cingunt	precingunt
se	se

uirtute	uirtute
.	.
qui	qui
ñ	non
effeminatis	effeminatis
moribus	moribus
sectant᷑	sectantur
Ꝯcia	concia
:	:
nec	nec
ĩ	in
forostantes	forostantes
ociosi	ociosi
repunt᷑	repuntur
.	.
s;	sed
ul̃	uel
ut	ut
oparii	oparii
fortes	fortes
.	.
desdendunt	desdendunt
mare	mare
ĩnauib;	innauibus
.	.
facientes	facientes
opatiome	opatiome
mĩa	misericordia
quis	quis
mutis	mutis
.	.
D᷒	Dominus
est	est
pardlidas	pardlidas
gllicitudine	gllicitudine

gruh̃	grulia
pante	pante
dͣlias	dralias
.	.
que	que
fluctib;	fluctibus
hui᷒	huius
seculi	seculi
quatiunt᷑	quatiuntur
.	.
⁊	et
exemplo	exemplo
simulac	simulac
doctrina	doctrina
:	:
fructificant	fructificant
in	in
popl̃is	populis
.	.
Ip̃i	Ipsi
sunt	sunt
qui	qui
oꝑant᷑	operantur
Ꝯsilio	consilio
manuũ	manuum
suarũ	suarum
.	.
hoc	hoc
estacͥtionũ	estacritionum
discretione	discretione
disponunt᷑	disponuntur
:	:
qui	qui
sp̃m	spiritum
ñ	non

mͥ	michi
Ꝯsilus	consilus
;	;
⁊	et
fortitudinisacepert̃	fortitudinisaterencereterencereterenceretereterenc
.	.
qui	qui
fortitudinem	fortitudinem
suam	suam
ñ	non
mundo	mundo
.	.
s;	sed
dño	domino
custodiunt	custodiunt
:	:
qui	qui
deniq;	denique
spantes	spantes
ĩ	in
eo	eo
.	.
qͥ	qui
fortis	fortis
⁊	et
potens	potens
est	est
in	in
p̃lio	prelio
:	:
subsignis	subsignis
eius	eius
cõstanter	constanter
militant	militant
.	.

⁊	et
post	post
uirtutum	uirtutum
.	.
certamina	certamina
.	.
palmã	palmam
uictorie	uictorie
feliciteras	felicitaras
secunt᷑	secuntur
.	.
fortes	fortes
etiam	etiam
sunt	sunt
prelati	prelati
eccl̃ie	ecclesie
Ꝯtradiabolice	contradiabole
fraudis	fraudis
ĩiquam	iniquam
suggestionẽ	suggestionem
:	:
ñ	non
enĩ	enim
ignoranta	ignoranta
sucias	sucias
ei᷒	eius
.	.
qui	qui
hostis	hostis
humanigeñis	humanigensis
.	.
⁊	et
ĩsaciabilis	insaciabilis
homicida	homicida
.	.

sedet	sedet
ĩ	in
insidiis	insidiis
.	.
uͭ	ut
interficiat	interficiat
ĩnocentẽ	innocentem
.	.
⁊	et
in	in
munita	munita
que	que
ꝙ	quod
;	;
curiose	curiose
ꝑlustrans	perlustrans
.	.
modo	modo
tamqͣ	tamqua
furĩ	furim
nocte	nocte
uenit	uenit
.	.
ut	ut
furet᷑	furetur
.	.
⁊	et
mactet	mactet
ꝙd	quod
perdat	perdat
:	:
mͥ	michi
uel	uel
ut	ut
serpens	serpens

callidus	callidus
frndulentis	frndulentis
deceptionũ	deceptionum
sibilis	sibilis
.	.
m̃tes	mentes
subũtit	subuntit
ĩpuidas	impuidas
:	:
⁊	et
sub	sub
sp̃e	spirite
recti	recti
.	.
plerum	plerum
ct̃	cunt
falsa	falsa
suggerit	suggerit
.	.
modo	modo
uͦͭ	uerum
se	se
uiens	uiens
ĩapto	inapto
.	.
⁊	et
ad	ad
p̃dam	predam
paratus	paratus
:	:
tanqͦ	tanquo
leo	leo
rugiens	rugiens
circuitqͣrens	circuiturens
quem	quem

deuoret	deuoret
.	.
contra	contra
multiplices	multiplices
hui᷒	huius
mͣͦitẽptationũ	marmitemptationum
laq̃os	laques
.	.
beatus	beatus
petrus	petrus
apl̃c	apostolus
uigilantes	uigilantes
⁊	et
cͥcum	cricum
spectos	spectos
eẽ	esse
nos	nos
ãmones	ammones
:	:
ait	ait
.	.
fratres	fratres
sobrii	sobrii
estote	estote
⁊	et
uigilate	uigilate
.	.
ꝙ	quod
ꝛadũsatius	aadunsatius
uest̃diabl̃s	uesterdiabus
.	.
tanqͣl	tanqual
corugiens	corugiens
:	:
cucuit	cucuit

q̃rens	querens
quẽ	quem
deuoret	deuoret
.	.
Et	Et
recte	recte
subiungit	subiungit
.	.
cui	cui
resistite	resistite
fortes	fortes
ĩfi	infi
de	de
uidelicet	uidelicet
.	.
ut	ut
ordine	ordine
Ꝯuenienti	conuenienti
.	.
fortitus	fortitus
dofortudine	dofortudine
deludat᷑	deludatur
:	:
sapient	sapient
:	:
auincat	auincat
malitiãs	malitians
⁊	et
illũ	illum
forte	forte
mãmatum	mammatum
.	.
qui	qui
in	in
pacecusdditatrlum	pacecusditatum

suũ	suum
.	.
uincat	uincat
fortioꝝ	fortiorum
supueniens	supueniens
:	:
⁊	et
arma	arma
ei᷒	eius
auferat	auferat
iñ	inde
qͥb;	quibus
confidebat	confidebat
:	:
⁊	et
spolia	spolia
ip̃i᷒	ipsius
distribuat	distribuat
.	.
paulus	paulus
etiam	etiam
apostolus	apostolus
Ꝯtradiabolice	contradiabole
fraudis	fraudis
ĩidias	inidias
uos	uos
Ꝯfortans	confortans
.	.
induit	induit
ei	ei
qͥ	qui
tarmat	tarmat

